TEAM_ID,NICKNAME,Conference
 1610612737,Atlanta Hawks,east
 1610612738,Boston Celtics,east
 1610612740,New Orleans Pelicans,west
 1610612741,Chicago Bulls,east
 1610612742,Dallas Mavericks,west
 1610612743,Denver Nuggets,west
 1610612745,Houston Rockets,west
 1610612746,Los Angeles Clippers,east
 1610612747,Los Angeles Lakers,west
 1610612748,Miami Heat,east
 1610612749,Milwaukee Bucks,east
 1610612750,Minnesota Timberwolves,wests
 1610612751,Brooklyn Nets,east
 1610612752,New York Knicks,east
 1610612753,Orlando Magic,east
 1610612754,Indiana Pacers,east
 1610612755,Philadelphia 76ers,east
 1610612756,Phoenix Suns,west
 1610612757,Portland Trail Blazers,west
 1610612758,Sacramento Kings,west
 1610612759,San Antonio Spurs,west
 1610612760,Oklahoma City Thunder,west
 1610612761,Toronto Raptors,east
 1610612762,Utah Jazz,west
 1610612763,Memphis Grizzlies,west
 1610612764,Washington Wizards,east
 1610612765,Detroit Pistons,east
 1610612766,Charlotte Hornets,east
 1610612739,Cleveland Cavaliers,east
 1610612744,Golden State Warriors,west
 